name,x,y,mv_grid_id,lv_grid_id,v_nom,in_building,control,generator
Busbar_mvgd_40_MV,4280932.702345714,2729162.4726249906,40,,10.0,False,Slack,MV_40_slack
BusBar_mvgd_40_lvgd_2128000000_LV,4284444.248370417,2725229.779617371,40,2128000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2128000000_MV,4284444.248370417,2725229.779617371,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2292000000_LV,4282500.164563044,2732839.811627651,40,2292000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2292000000_MV,4282500.164563044,2732839.811627651,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2383000000_LV,4284286.281781233,2735471.400605071,40,2383000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2383000000_MV,4284286.281781233,2735471.400605071,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2520000000_LV,4282733.474192327,2737131.6011299393,40,2520000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2520000000_MV,4282733.474192327,2737131.6011299393,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2521000000_LV,4283086.991522821,2737054.0242023324,40,2521000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2521000000_MV,4283086.991522821,2737054.0242023324,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2561000000_LV,4284755.972323539,2734952.553246158,40,2561000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2561000000_MV,4284755.972323539,2734952.553246158,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2608000000_LV,4284661.375323264,2735482.500798008,40,2608000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2608000000_MV,4284661.375323264,2735482.500798008,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2633000000_LV,4286079.658048095,2735297.530969002,40,2633000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2633000000_MV,4286079.658048095,2735297.530969002,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2705000000_LV,4285089.409190522,2735469.081807633,40,2705000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2705000000_MV,4285089.409190522,2735469.081807633,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2728000000_LV,4282966.750572503,2735525.7971678227,40,2728000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2728000000_MV,4282966.750572503,2735525.7971678227,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2763000000_LV,4285666.094446443,2735664.963962786,40,2763000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2763000000_MV,4285666.094446443,2735664.963962786,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2765000000_LV,4280756.819957199,2736142.2256613825,40,2765000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2765000000_MV,4280756.819957199,2736142.2256613825,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2765000001_LV,4282202.641864394,2736521.210716682,40,2765000001.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2765000001_MV,4282202.641864394,2736521.210716682,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2765000002_LV,4281642.814508786,2736056.561660475,40,2765000002.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2765000002_MV,4281642.814508786,2736056.561660475,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2840000000_LV,4279225.199844451,2736286.4734600266,40,2840000000.0,0.4,False,PQ,
BusBar_mvgd_40_lvgd_2840000000_MV,4279225.199844451,2736286.4734600266,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_2842000000_LV,4279591.974002737,2736292.1041218885,40,2842000000.0,0.4,False,PQ,
