name,bus,control,p_nom,type,weather_cell_id,subtype,min_up_time,min_down_time,up_time_before,down_time_before
MV_40_slack,Busbar_mvgd_40_MV,Slack,0.0,station,,mv_station,0,0,1,0
Generator_mvgd_40_lvgd_2128000000_solar_roof_mounted_232871,BusBar_mvgd_40_lvgd_2128000000_LV,PQ,0.03,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2128000000_solar_ground_mounted_235047,BusBar_mvgd_40_lvgd_2128000000_LV,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2128000000_solar_ground_mounted_235065,BusBar_mvgd_40_lvgd_2128000000_LV,PQ,0.017,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2128000000_solar_roof_mounted_235178,BusBar_mvgd_40_lvgd_2128000000_LV,PQ,0.006,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2128000000_solar_roof_mounted_1575706,BusBar_mvgd_40_lvgd_2128000000_LV,PQ,0.00936,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2292000000_solar_ground_mounted_235010,BusBar_mvgd_40_lvgd_2292000000_LV,PQ,0.021,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2383000000_solar_roof_mounted_232797,BusBar_mvgd_40_lvgd_2383000000_LV,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2383000000_solar_roof_mounted_232808,BusBar_mvgd_40_lvgd_2383000000_LV,PQ,0.032,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2383000000_solar_roof_mounted_232886,BusBar_mvgd_40_lvgd_2383000000_LV,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2383000000_solar_roof_mounted_233020,BusBar_mvgd_40_lvgd_2383000000_LV,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2383000000_solar_ground_mounted_235012,BusBar_mvgd_40_lvgd_2383000000_LV,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2383000000_solar_ground_mounted_235018,BusBar_mvgd_40_lvgd_2383000000_LV,PQ,0.013,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2383000000_solar_ground_mounted_235056,BusBar_mvgd_40_lvgd_2383000000_LV,PQ,0.006,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2520000000_solar_ground_mounted_232751,BusBar_mvgd_40_lvgd_2520000000_LV,PQ,0.002,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2520000000_solar_roof_mounted_232841,BusBar_mvgd_40_lvgd_2520000000_LV,PQ,0.03,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2520000000_solar_roof_mounted_232932,BusBar_mvgd_40_lvgd_2520000000_LV,PQ,0.024,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2520000000_solar_roof_mounted_232938,BusBar_mvgd_40_lvgd_2520000000_LV,PQ,0.024,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2520000000_solar_roof_mounted_233113,BusBar_mvgd_40_lvgd_2520000000_LV,PQ,0.01,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2521000000_solar_ground_mounted_232645,BusBar_mvgd_40_lvgd_2521000000_LV,PQ,0.017,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2521000000_solar_ground_mounted_232656,BusBar_mvgd_40_lvgd_2521000000_LV,PQ,0.005,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2521000000_solar_roof_mounted_233096,BusBar_mvgd_40_lvgd_2521000000_LV,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2521000000_solar_roof_mounted_235111,BusBar_mvgd_40_lvgd_2521000000_LV,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2561000000_solar_ground_mounted_232558,BusBar_mvgd_40_lvgd_2561000000_LV,PQ,0.001,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2561000000_solar_roof_mounted_232779,BusBar_mvgd_40_lvgd_2561000000_LV,PQ,0.015,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2561000000_solar_roof_mounted_232870,BusBar_mvgd_40_lvgd_2561000000_LV,PQ,0.011,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2561000000_solar_roof_mounted_232917,BusBar_mvgd_40_lvgd_2561000000_LV,PQ,0.007,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2561000000_solar_ground_mounted_235037,BusBar_mvgd_40_lvgd_2561000000_LV,PQ,0.016,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_ground_mounted_232740,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.005,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_ground_mounted_232746,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.023,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_roof_mounted_232786,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.006,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_roof_mounted_233040,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.007,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_roof_mounted_233043,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.113,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_roof_mounted_233071,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_ground_mounted_235025,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.006,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2608000000_solar_ground_mounted_235060,BusBar_mvgd_40_lvgd_2608000000_LV,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2633000000_solar_roof_mounted_232897,BusBar_mvgd_40_lvgd_2633000000_LV,PQ,0.014,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2633000000_solar_roof_mounted_233141,BusBar_mvgd_40_lvgd_2633000000_LV,PQ,0.015,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2633000000_solar_roof_mounted_235144,BusBar_mvgd_40_lvgd_2633000000_LV,PQ,0.015,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2705000000_solar_ground_mounted_232536,BusBar_mvgd_40_lvgd_2705000000_LV,PQ,0.002,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2705000000_biomass_232670,BusBar_mvgd_40_lvgd_2705000000_LV,PQ,0.25,biomass,,biomass,0,0,1,0
Generator_mvgd_40_lvgd_2705000000_solar_roof_mounted_232997,BusBar_mvgd_40_lvgd_2705000000_LV,PQ,0.014,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2705000000_solar_ground_mounted_235038,BusBar_mvgd_40_lvgd_2705000000_LV,PQ,0.021,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2705000000_solar_ground_mounted_235064,BusBar_mvgd_40_lvgd_2705000000_LV,PQ,0.009,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2705000000_solar_roof_mounted_235150,BusBar_mvgd_40_lvgd_2705000000_LV,PQ,0.038,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2728000000_solar_roof_mounted_232884,BusBar_mvgd_40_lvgd_2728000000_LV,PQ,0.012,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2728000000_solar_roof_mounted_232895,BusBar_mvgd_40_lvgd_2728000000_LV,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2728000000_solar_ground_mounted_235079,BusBar_mvgd_40_lvgd_2728000000_LV,PQ,0.024,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2728000000_solar_roof_mounted_235167,BusBar_mvgd_40_lvgd_2728000000_LV,PQ,0.011,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2763000000_solar_ground_mounted_232741,BusBar_mvgd_40_lvgd_2763000000_LV,PQ,0.011,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2763000000_solar_roof_mounted_233175,BusBar_mvgd_40_lvgd_2763000000_LV,PQ,0.015,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2763000000_solar_ground_mounted_235016,BusBar_mvgd_40_lvgd_2763000000_LV,PQ,0.024,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2763000000_solar_roof_mounted_235095,BusBar_mvgd_40_lvgd_2763000000_LV,PQ,0.02,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2763000000_solar_roof_mounted_235117,BusBar_mvgd_40_lvgd_2763000000_LV,PQ,0.077,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2765000000_solar_ground_mounted_232566,BusBar_mvgd_40_lvgd_2765000000_LV,PQ,0.018,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2765000000_solar_ground_mounted_232682,BusBar_mvgd_40_lvgd_2765000000_LV,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_2765000000_solar_ground_mounted_232686,BusBar_mvgd_40_lvgd_2765000000_LV,PQ,0.005,solar,1127074,solar_ground_mounted,0,0,1,0
