name,bus,peak_load,annual_consumption,sector
Load_mvgd40_lvgd2128000000_agricultural,BusBar_mvgd_40_lvgd_2128000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2128000000_industrial,BusBar_mvgd_40_lvgd_2128000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2128000000_residential,BusBar_mvgd_40_lvgd_2128000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2128000000_retail,BusBar_mvgd_40_lvgd_2128000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2292000000_agricultural,BusBar_mvgd_40_lvgd_2292000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2292000000_industrial,BusBar_mvgd_40_lvgd_2292000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2292000000_residential,BusBar_mvgd_40_lvgd_2292000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2292000000_retail,BusBar_mvgd_40_lvgd_2292000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2383000000_agricultural,BusBar_mvgd_40_lvgd_2383000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2383000000_industrial,BusBar_mvgd_40_lvgd_2383000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2383000000_residential,BusBar_mvgd_40_lvgd_2383000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2383000000_retail,BusBar_mvgd_40_lvgd_2383000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2520000000_agricultural,BusBar_mvgd_40_lvgd_2520000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2520000000_industrial,BusBar_mvgd_40_lvgd_2520000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2520000000_residential,BusBar_mvgd_40_lvgd_2520000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2520000000_retail,BusBar_mvgd_40_lvgd_2520000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2521000000_agricultural,BusBar_mvgd_40_lvgd_2521000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2521000000_industrial,BusBar_mvgd_40_lvgd_2521000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2521000000_residential,BusBar_mvgd_40_lvgd_2521000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2521000000_retail,BusBar_mvgd_40_lvgd_2521000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2561000000_agricultural,BusBar_mvgd_40_lvgd_2561000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2561000000_industrial,BusBar_mvgd_40_lvgd_2561000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2561000000_residential,BusBar_mvgd_40_lvgd_2561000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2561000000_retail,BusBar_mvgd_40_lvgd_2561000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2608000000_agricultural,BusBar_mvgd_40_lvgd_2608000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2608000000_industrial,BusBar_mvgd_40_lvgd_2608000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2608000000_residential,BusBar_mvgd_40_lvgd_2608000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2608000000_retail,BusBar_mvgd_40_lvgd_2608000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2633000000_agricultural,BusBar_mvgd_40_lvgd_2633000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2633000000_industrial,BusBar_mvgd_40_lvgd_2633000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2633000000_residential,BusBar_mvgd_40_lvgd_2633000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2633000000_retail,BusBar_mvgd_40_lvgd_2633000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2705000000_agricultural,BusBar_mvgd_40_lvgd_2705000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2705000000_industrial,BusBar_mvgd_40_lvgd_2705000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2705000000_residential,BusBar_mvgd_40_lvgd_2705000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2705000000_retail,BusBar_mvgd_40_lvgd_2705000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2728000000_agricultural,BusBar_mvgd_40_lvgd_2728000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2728000000_industrial,BusBar_mvgd_40_lvgd_2728000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2728000000_residential,BusBar_mvgd_40_lvgd_2728000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2728000000_retail,BusBar_mvgd_40_lvgd_2728000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2763000000_agricultural,BusBar_mvgd_40_lvgd_2763000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2763000000_industrial,BusBar_mvgd_40_lvgd_2763000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2763000000_residential,BusBar_mvgd_40_lvgd_2763000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2763000000_retail,BusBar_mvgd_40_lvgd_2763000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2765000000_agricultural,BusBar_mvgd_40_lvgd_2765000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2765000000_industrial,BusBar_mvgd_40_lvgd_2765000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2765000000_residential,BusBar_mvgd_40_lvgd_2765000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2765000000_retail,BusBar_mvgd_40_lvgd_2765000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2765000001_agricultural,BusBar_mvgd_40_lvgd_2765000001_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2765000001_industrial,BusBar_mvgd_40_lvgd_2765000001_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2765000001_residential,BusBar_mvgd_40_lvgd_2765000001_LV,0.0,0.0,residential
Load_mvgd40_lvgd2765000001_retail,BusBar_mvgd_40_lvgd_2765000001_LV,0.0,0.0,retail
Load_mvgd40_lvgd2765000002_agricultural,BusBar_mvgd_40_lvgd_2765000002_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2765000002_industrial,BusBar_mvgd_40_lvgd_2765000002_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2765000002_residential,BusBar_mvgd_40_lvgd_2765000002_LV,0.0,0.0,residential
Load_mvgd40_lvgd2765000002_retail,BusBar_mvgd_40_lvgd_2765000002_LV,0.0,0.0,retail
Load_mvgd40_lvgd2840000000_agricultural,BusBar_mvgd_40_lvgd_2840000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2840000000_industrial,BusBar_mvgd_40_lvgd_2840000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2840000000_residential,BusBar_mvgd_40_lvgd_2840000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2840000000_retail,BusBar_mvgd_40_lvgd_2840000000_LV,0.0,0.0,retail
Load_mvgd40_lvgd2842000000_agricultural,BusBar_mvgd_40_lvgd_2842000000_LV,0.0,0.0,agricultural
Load_mvgd40_lvgd2842000000_industrial,BusBar_mvgd_40_lvgd_2842000000_LV,0.0,0.0,industrial
Load_mvgd40_lvgd2842000000_residential,BusBar_mvgd_40_lvgd_2842000000_LV,0.0,0.0,residential
Load_mvgd40_lvgd2842000000_retail,BusBar_mvgd_40_lvgd_2842000000_LV,0.0,0.0,retail
