name,bus,control,p_nom,type,weather_cell_id,subtype,min_up_time,min_down_time,up_time_before,down_time_before
MV_40_slack,Busbar_mvgd_40_MV,Slack,0.0,station,,mv_station,0,0,1,0
Generator_mvgd_40_lvgd_4347000000_solar_roof_mounted_232793,BusBar_lac_4347,PQ,0.031,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000000_solar_roof_mounted_232908,BusBar_lac_4347,PQ,0.03,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000000_solar_ground_mounted_235078,BusBar_lac_4347,PQ,0.025,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000000_solar_roof_mounted_235124,BusBar_lac_4347,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000000_solar_roof_mounted_1605607,BusBar_lac_4347,PQ,0.0221,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000001_solar_ground_mounted_232610,BusBar_lac_4347,PQ,0.015,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000001_solar_roof_mounted_232826,BusBar_lac_4347,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000001_solar_roof_mounted_232981,BusBar_lac_4347,PQ,0.003,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000001_solar_roof_mounted_233187,BusBar_lac_4347,PQ,0.006,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000002_solar_ground_mounted_232607,BusBar_lac_4347,PQ,0.006,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000002_solar_roof_mounted_232780,BusBar_lac_4347,PQ,0.006,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000002_solar_roof_mounted_232806,BusBar_lac_4347,PQ,0.009,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000002_solar_roof_mounted_232947,BusBar_lac_4347,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000002_solar_ground_mounted_235085,BusBar_lac_4347,PQ,0.005,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000003_solar_ground_mounted_232716,BusBar_lac_4347,PQ,0.016,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000003_solar_roof_mounted_232888,BusBar_lac_4347,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000003_solar_ground_mounted_235009,BusBar_lac_4347,PQ,0.006,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000003_solar_roof_mounted_235176,BusBar_lac_4347,PQ,0.007,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4347000004_solar_roof_mounted_233090,BusBar_lac_4347,PQ,0.046,solar,1127074,solar_roof_mounted,0,0,1,0
