name,x,y,mv_grid_id,lv_grid_id,v_nom,in_building,control,generator
Busbar_mvgd_40_MV,4280932.702345714,2729162.4726249906,40,,10.0,False,Slack,MV_40_slack
BusBar_mvgd_40_lvgd_3088000000_MV,4283482.523501317,2733973.748322513,40,,10.0,False,PQ,
BranchTee_mvgd_40_1,4283482.523501317,2733973.748322513,40,,10.0,False,PQ,
virtual_BusBar_mvgd_40_lvgd_3088000000_MV,4283482.523501317,2733973.748322513,40,,10.0,False,PQ,
BusBar_mvgd_40_lvgd_3088000000_LV,4283482.523501317,2733973.748322513,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_1,4283297.217674621,2733962.8022439843,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_2,4283262.351719811,2733919.68032295,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_3,4283453.0763845015,2733971.258228151,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_4,4283579.338969825,2733905.2236177386,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_5,4283568.629599408,2733915.0742642623,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_6,4283556.207918324,2733929.4256887506,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_7,4283543.666543345,2733943.833509163,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_8,4283528.473623198,2733955.7479545507,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_9,4283512.430596205,2733963.9568002056,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_10,4283494.818976036,2733969.9539013985,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_11,4283481.6621798705,2733944.3297854,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_12,4283491.462261005,2734041.9151312984,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_13,4283524.074730506,2734143.6246480425,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_14,4283478.234909443,2733883.1596244047,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_15,4283482.152838582,2733826.9291091687,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_16,4283483.175079331,2733798.509051558,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_17,4283476.049454885,2733757.8487191107,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_18,4283468.923830438,2733717.1883866633,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_19,4283544.052587435,2734251.3089106665,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_20,4283541.368783266,2734227.8475047555,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_21,4283528.4435778875,2734154.9848936535,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_22,4283183.057904235,2733876.1608904265,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_23,4283206.461554796,2733884.302194291,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_24,4283249.046146357,2733908.081005105,40,3088000000,0.4,False,PQ,
BranchTee_mvgd_40_lvgd_3088000000_25,4283274.433253511,2733901.325555391,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_26,4283227.362308272,2733933.4877785523,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_27,4283265.917420261,2733959.5734435036,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_28,4283466.392084867,2733931.326451182,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_29,4283581.494787614,2733930.6109261946,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_30,4283502.546121247,2733979.9191270405,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_31,4283580.908935468,2734005.9784466242,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_32,4283531.352696237,2733984.367596001,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_33,4283511.016894116,2734009.1713651572,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_34,4283542.79262361,2733916.186624751,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_35,4283489.44396936,2733910.563676266,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_36,4283462.378213734,2733951.1939024203,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_37,4283559.747530384,2733945.7038274035,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_38,4283493.595090274,2733938.476554983,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_39,4283550.775826185,2734217.7959424816,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_40,4283525.10476772,2733941.6281759874,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_41,4283489.05521714,2733962.864531405,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_42,4283557.602187822,2734256.2512519904,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_43,4283548.726604364,2734166.321713294,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_44,4283502.669517802,2733948.377114097,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_45,4283569.524643014,2734219.66263799,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_46,4283509.064793654,2734131.5201699533,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_47,4283543.997789106,2734010.986151428,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_48,4283534.000877138,2733938.6097280337,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_49,4283246.438142015,2733927.5556977303,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_50,4283180.495175519,2733897.869025386,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_51,4283166.629781712,2733899.3427147353,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_52,4283454.187151266,2733738.15359306,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_53,4283502.84342292,2733824.1054368857,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_54,4283442.334752901,2733767.7694022446,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_55,4283463.3916570665,2733910.0229622195,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_56,4283463.140433152,2733850.341733144,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_57,4283496.6999260485,2733862.4389874227,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_58,4283454.503058123,2733984.688996399,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_59,4283538.427619921,2733880.5031554643,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_60,4283492.657273854,2733890.5294203274,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_61,4283508.228255474,2733889.7436016304,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_62,4283545.041704447,2733897.0486351037,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_63,4283468.690752034,2733965.519344722,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_64,4283462.209777167,2733888.483062378,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_65,4283522.8372713085,2734034.039097189,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_66,4283462.405510446,2733824.037934104,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_67,4283467.401918973,2733796.9932760946,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_68,4283503.677896163,2733908.6785454876,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_69,4283460.037817558,2733807.4826812153,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_70,4283519.981611733,2733929.2042913036,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_71,4283491.620372364,2733765.694327017,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_72,4283468.18980985,2734004.7488238653,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_73,4283489.813274405,2733834.4236467257,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_74,4283462.02727153,2733785.734345996,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_75,4283494.11419653,2733807.5390015757,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_76,4283465.044941177,2733867.958755553,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_77,4283556.320828475,2733882.777523345,40,3088000000,0.4,True,PQ,
BranchTee_mvgd_40_lvgd_3088000000_78,4283190.969711827,2733917.6564045222,40,3088000000,0.4,True,PQ,
