name,bus,peak_load,annual_consumption,sector
Load_mvgd_40_lvgd_2765000000_1,BranchTee_mvgd_40_lvgd_2765000000_200,0.006007902402750815,0,ALL
Load_mvgd_40_lvgd_2765000000_2,BranchTee_mvgd_40_lvgd_2765000000_201,0.008916991987240686,0,ALL
Load_mvgd_40_lvgd_2765000000_3,BranchTee_mvgd_40_lvgd_2765000000_202,0.008916991987240686,0,ALL
Load_mvgd_40_lvgd_2765000000_4,BranchTee_mvgd_40_lvgd_2765000000_203,0.011610666650052975,0,ALL
Load_mvgd_40_lvgd_2765000000_5,BranchTee_mvgd_40_lvgd_2765000000_204,0.008400064915516587,0,ALL
Load_mvgd_40_lvgd_2765000000_6,BranchTee_mvgd_40_lvgd_2765000000_205,0.008400064915516587,0,ALL
Load_mvgd_40_lvgd_2765000000_7,BranchTee_mvgd_40_lvgd_2765000000_206,0.005623328280241874,0,ALL
Load_mvgd_40_lvgd_2765000000_8,BranchTee_mvgd_40_lvgd_2765000000_207,0.005623328280241874,0,ALL
Load_mvgd_40_lvgd_2765000000_9,BranchTee_mvgd_40_lvgd_2765000000_208,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_10,BranchTee_mvgd_40_lvgd_2765000000_209,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_11,BranchTee_mvgd_40_lvgd_2765000000_210,0.007107747236206343,0,ALL
Load_mvgd_40_lvgd_2765000000_12,BranchTee_mvgd_40_lvgd_2765000000_211,0.007107747236206343,0,ALL
Load_mvgd_40_lvgd_2765000000_13,BranchTee_mvgd_40_lvgd_2765000000_212,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_14,BranchTee_mvgd_40_lvgd_2765000000_213,0.007107747236206343,0,ALL
Load_mvgd_40_lvgd_2765000000_15,BranchTee_mvgd_40_lvgd_2765000000_214,0.007107747236206343,0,ALL
Load_mvgd_40_lvgd_2765000000_16,BranchTee_mvgd_40_lvgd_2765000000_215,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_17,BranchTee_mvgd_40_lvgd_2765000000_216,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_18,BranchTee_mvgd_40_lvgd_2765000000_217,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_19,BranchTee_mvgd_40_lvgd_2765000000_218,0.00619235554669492,0,ALL
Load_mvgd_40_lvgd_2765000000_20,BranchTee_mvgd_40_lvgd_2765000000_219,0.006972133652575021,0,ALL
Load_mvgd_40_lvgd_2765000000_21,BranchTee_mvgd_40_lvgd_2765000000_220,0.006918355852169497,0,ALL
Load_mvgd_40_lvgd_2765000000_22,BranchTee_mvgd_40_lvgd_2765000000_221,0.006918355852169497,0,ALL
Load_mvgd_40_lvgd_2765000000_23,BranchTee_mvgd_40_lvgd_2765000000_222,0.007093061808032364,0,ALL
Load_mvgd_40_lvgd_2765000000_24,BranchTee_mvgd_40_lvgd_2765000000_223,0.007093061808032364,0,ALL
Load_mvgd_40_lvgd_2765000000_25,BranchTee_mvgd_40_lvgd_2765000000_224,0.006918355852169497,0,ALL
Load_mvgd_40_lvgd_2765000000_26,BranchTee_mvgd_40_lvgd_2765000000_225,0.005944661324827123,0,ALL
Load_mvgd_40_lvgd_2765000000_27,BranchTee_mvgd_40_lvgd_2765000000_226,0.006755296960030821,0,ALL
Load_mvgd_40_lvgd_2765000000_28,BranchTee_mvgd_40_lvgd_2765000000_227,0.006755296960030821,0,ALL
Load_mvgd_40_lvgd_2765000000_29,BranchTee_mvgd_40_lvgd_2765000000_228,0.006755296960030821,0,ALL
Load_mvgd_40_lvgd_2765000000_30,BranchTee_mvgd_40_lvgd_2765000000_229,0.006859224605569758,0,ALL
Load_mvgd_40_lvgd_2765000000_31,BranchTee_mvgd_40_lvgd_2765000000_230,0.006859224605569758,0,ALL
